ID,AltName,Age1,R_gc,X,Y,Z,v_r,+/-,v_gr,sig_v,[Fe/H],E(B-V),V_HB,(m-M)V,V_t,"M_V,t",U-B,B-V,V-R,V-I,ellip,L,B,Mstar,rh,C5
NGC6584,NONE,11.3,7,12.3,-4,-3.8,222.9,15,298.4822867,,-1.5,0.1,16.53,15.96,8.27,-7.69,0.17,0.76,0.5,1.04,,42.14,-16.41,3.03,4.87,0.62
NGC6624,NONE,12.5,1.2,7.8,0.4,-1.1,53.9,0.6,52.70733068,5.4,-0.44,0.28,16.09,15.36,7.87,-7.49,0.6,1.11,0.67,1.42,0.06,2.79,-7.91,2.57,3.2,0.8
NGC6626,,,2.7,5.4,0.7,-0.5,17,1,-0.701672924,8.6,-1.32,0.4,15.55,14.95,6.79,-8.16,0.46,1.08,0.69,1.41,0.16,7.8,-5.58,,,
NGC6637,M69,13.1,1.7,8.6,0.3,-1.6,39.9,2.8,41.88217679,,-0.64,0.18,15.98,15.28,7.64,-7.64,0.48,1.01,0.62,1.28,0.01,1.72,-10.27,2,3.66,0.55
NGC6638,,,2.2,9.3,1.3,-1.2,18.1,3.9,-2.074695304,,-0.95,0.41,16.8,16.14,9.02,-7.12,0.56,1.15,0.72,1.5,0.01,7.9,-7.15,,,
NGC6642,,,1.7,8,1.4,-0.9,-57.2,5.4,-84.68158997,,-1.26,0.4,16.4,15.79,9.13,-6.66,0.57,1.11,0.72,1.45,0.03,9.81,-6.44,,,
NGC6652,NONE,12,2.7,9.8,0.3,-2,-111.7,5.8,-108.9486803,,-0.81,0.09,15.96,15.28,8.62,-6.66,0.37,0.94,0.52,1.08,0.2,1.53,-11.38,1.09,2.37,0.46
NGC6656,M22,12.7,4.9,3.2,0.6,-0.4,-146.3,0.2,-176.5031226,7.8,-1.7,0.34,14.15,13.6,5.1,-8.5,0.28,0.98,0.68,1.42,0.14,9.89,-7.55,6.44,5.32,1.21
NGC6681,M70,12.8,2.2,8.8,0.4,-2,220.3,0.9,219.6064151,5.2,-1.62,0.07,15.55,14.99,7.87,-7.12,0.12,0.72,0.47,0.99,0.01,2.85,-12.51,1.79,3.16,0.57
NGC6712,,,3.5,6.3,3,-0.5,-107.6,0.5,-191.7578471,4.3,-1.02,0.45,16.25,15.6,8.1,-7.5,0.53,1.17,0.72,1.57,0.11,25.35,-4.32,,,
NGC6715,M54,10.8,18.9,25.6,2.5,-6.5,141.3,0.3,129.0332813,10.5,-1.49,0.15,18.16,17.58,7.6,-9.98,0.24,0.85,0.53,1.1,0.06,5.61,-14.09,12.9,10.7,1.2
NGC6717,NONE,13.2,2.4,6.8,1.6,-1.3,22.8,3.4,-17.82677538,,-1.26,0.22,15.55,14.94,9.28,-5.66,0.35,1,0.65,1.37,0.01,12.88,-10.9,0.48,2.39,0.2
NGC6723,NONE,13.1,2.6,8.3,0,-2.6,-94.5,3.6,-86.07478496,,-1.1,0.05,15.48,14.84,7.01,-7.83,0.21,0.75,0.5,1.05,0,0.07,-17.3,3.57,6.58,0.54
NGC6749,,,5,6.4,4.7,-0.3,-61.7,2.9,-181.9328284,,-1.6,1.5,19.7,19.14,12.44,-6.7,0.8,2.14,,,,36.2,-2.21,,,
NGC6752,NONE,13.8,5.2,3.3,-1.4,-1.7,-26.7,0.2,64.93345672,4.9,-1.54,0.04,13.7,13.13,5.4,-7.73,0.07,0.66,0.43,0.93,0.04,36.49,-25.63,2.82,3.8,0.75
